,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,43,3,0,0,2,0,0
Actual: chris,0,30,0,8,2,4,0
Actual: diniz,0,10,37,1,0,1,7
Actual: manuela,0,2,0,38,0,0,0
Actual: matheus,1,3,0,0,37,5,0
Actual: michel,1,2,0,0,11,40,1
Actual: pablo,1,0,2,1,0,1,51
