,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,42,3,3,0,0,0,0
Actual: chris,0,38,0,1,0,5,0
Actual: diniz,0,5,44,0,0,1,6
Actual: manuela,0,8,1,28,0,3,0
Actual: matheus,1,4,0,0,18,22,1
Actual: michel,1,0,0,0,3,50,1
Actual: pablo,0,1,6,0,0,2,47
