,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,45,2,0,0,0,1,0
Actual: chris,0,35,0,3,1,4,1
Actual: diniz,1,6,49,0,0,0,0
Actual: manuela,0,11,0,26,2,1,0
Actual: matheus,1,2,1,0,40,2,0
Actual: michel,0,0,0,1,13,40,1
Actual: pablo,0,1,7,0,1,1,46
