,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,47,0,0,0,1,0,0
Actual: chris,0,33,0,4,1,4,2
Actual: diniz,2,3,49,0,0,0,2
Actual: manuela,0,20,0,20,0,0,0
Actual: matheus,2,3,2,0,35,2,2
Actual: michel,1,3,0,0,11,39,1
Actual: pablo,1,1,6,0,0,1,47
