,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,43,4,1,0,0,0,0
Actual: chris,0,35,0,4,0,5,0
Actual: diniz,0,6,47,0,0,0,3
Actual: manuela,0,3,0,37,0,0,0
Actual: matheus,1,3,1,2,30,9,0
Actual: michel,1,1,0,0,5,47,1
Actual: pablo,1,2,5,0,0,2,46
