,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,45,1,0,0,2,0,0
Actual: chris,0,39,0,3,1,1,0
Actual: diniz,1,9,43,0,0,0,3
Actual: manuela,0,4,0,36,0,0,0
Actual: matheus,1,4,0,0,41,0,0
Actual: michel,0,2,0,0,23,29,1
Actual: pablo,0,2,4,0,1,0,49
