,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,44,4,0,0,0,0,0
Actual: chris,0,38,0,3,2,1,0
Actual: diniz,0,11,45,0,0,0,0
Actual: manuela,0,5,0,35,0,0,0
Actual: matheus,1,5,0,2,36,2,0
Actual: michel,1,2,0,0,11,40,1
Actual: pablo,1,2,7,0,1,0,45
