,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,45,2,0,0,0,1,0
Actual: chris,0,36,0,2,2,4,0
Actual: diniz,2,6,43,0,0,1,4
Actual: manuela,0,8,0,32,0,0,0
Actual: matheus,1,4,0,0,32,9,0
Actual: michel,1,1,0,0,4,48,1
Actual: pablo,2,1,5,0,0,1,47
