,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,46,0,0,0,2,0,0
Actual: chris,0,20,0,14,2,4,4
Actual: diniz,1,1,43,3,1,0,7
Actual: manuela,0,1,0,37,2,0,0
Actual: matheus,1,0,0,2,38,5,0
Actual: michel,0,0,0,1,12,41,1
Actual: pablo,1,0,2,1,2,0,50
