,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,48,0,0,0,0,0,0
Actual: chris,1,36,1,2,3,1,0
Actual: diniz,1,6,45,0,0,0,4
Actual: manuela,1,5,0,32,1,1,0
Actual: matheus,3,2,1,0,40,0,0
Actual: michel,1,0,0,1,19,33,1
Actual: pablo,1,0,6,0,1,0,48
