,Predicted: anabele,Predicted: chris,Predicted: diniz,Predicted: manuela,Predicted: matheus,Predicted: michel,Predicted: pablo
Actual: anabele,41,2,1,0,4,0,0
Actual: chris,0,37,0,2,3,2,0
Actual: diniz,0,7,46,0,0,2,1
Actual: manuela,0,5,0,32,2,1,0
Actual: matheus,1,2,1,0,39,3,0
Actual: michel,0,1,0,0,14,39,1
Actual: pablo,0,1,7,0,0,2,46
